BDU,VEDAS
BDU:2025-10986,0.6606048
BDU:2025-10985,0.7033187
BDU:2025-10984,0.6594423
BDU:2025-10983,0.6606048
BDU:2025-10982,0.0498417
BDU:2025-10981,0.6606048
BDU:2025-10980,0.7019658
BDU:2025-10972,0.4541582
BDU:2025-10969,0.804329
BDU:2025-10968,0.4534549
BDU:2025-10966,0.071133
BDU:2025-10965,0.4513791
BDU:2025-10964,0.0710129
BDU:2025-10963,0.7079777
BDU:2025-10962,0.0710622
BDU:2025-10961,0.0710622
BDU:2025-10960,0.0710406
BDU:2025-10959,0.0710222
BDU:2025-10958,0.2038564
BDU:2025-10957,0.2071648
BDU:2025-10956,0.2023693
BDU:2025-10955,0.2024834
BDU:2025-10954,0.2036064
BDU:2025-10953,0.2025008
BDU:2025-10952,0.2029257
BDU:2025-10951,0.231152
BDU:2025-10950,0.2587156
BDU:2025-10949,0.0824539
BDU:2025-10948,0.1099979
BDU:2025-10947,0.205052
BDU:2025-10946,0.205052
BDU:2025-10945,0.4348219
BDU:2025-10944,0.0548398
BDU:2025-10943,0.0489609
BDU:2025-10942,0.8050942
BDU:2025-10941,0.0710776
BDU:2025-10940,0.0710098
BDU:2025-10939,0.0709975
BDU:2025-10938,0.0710622
BDU:2025-10935,0.8216642
BDU:2025-10934,0.4526531
BDU:2025-10933,0.4526531
BDU:2025-10932,0.4087114
BDU:2025-10931,0.0560324
BDU:2025-10930,0.6203929
BDU:2025-10929,0.2098335
BDU:2025-10928,0.0507805
BDU:2025-10927,0.2138238
BDU:2025-10926,0.7545732
BDU:2025-10925,0.2287919
BDU:2025-10924,0.2285848
BDU:2025-10923,0.2094938
BDU:2025-10922,0.0511175
BDU:2025-10921,0.4358475
BDU:2025-10920,0.07137
BDU:2025-10919,0.0710344
BDU:2025-10918,0.2105087
BDU:2025-10917,0.0565146
BDU:2025-10916,0.2297377
BDU:2025-10915,0.07137
BDU:2025-10913,0.8042969
BDU:2025-10912,0.2072811
BDU:2025-10911,0.6655224
BDU:2025-10910,0.2085736
BDU:2025-10909,0.4367916
BDU:2025-10908,0.8032041
BDU:2025-10907,0.0528903
BDU:2025-10903,0.4331222
BDU:2025-10900,0.2289419
BDU:2025-10899,0.4365074
BDU:2025-10898,0.3728014
BDU:2025-10897,0.2267378
BDU:2025-10896,0.2270097
BDU:2025-10895,0.227111
BDU:2025-10894,0.2272467
BDU:2025-10893,0.2272325
BDU:2025-10892,0.047515
BDU:2025-10890,0.0523725
BDU:2025-10889,0.2272133
BDU:2025-10888,0.0462481
BDU:2025-10887,0.0524033
BDU:2025-10886,0.0523725
BDU:2025-10885,0.0523725
BDU:2025-10884,0.2055995
BDU:2025-10883,0.0523572
BDU:2025-10882,0.8044839
BDU:2025-10876,0.4360863
BDU:2025-10875,0.4526101
BDU:2025-10873,0.8031051
BDU:2025-10872,0.6897915
BDU:2025-10871,0.1953942
BDU:2025-10870,0.8050088
BDU:2025-10869,0.2115364
BDU:2025-10868,0.2108795
BDU:2025-10867,0.2114674
BDU:2025-10866,0.2098613
BDU:2025-10865,0.2118673
BDU:2025-10864,0.4369552
BDU:2025-10863,0.4364886
BDU:2025-10862,0.4367267
BDU:2025-10861,0.2659979
BDU:2025-10860,0.268514
BDU:2025-10859,0.2119975
BDU:2025-10858,0.4329577
BDU:2025-10857,0.4332575
BDU:2025-10856,0.2071057
BDU:2025-10855,0.2082063
BDU:2025-10854,0.5301198
BDU:2025-10853,0.2101725
BDU:2025-10852,0.2691243
BDU:2025-10851,0.2688407
BDU:2025-10850,0.2721297
BDU:2025-10849,0.2119295
BDU:2025-10848,0.2114674
BDU:2025-10847,0.2114674
BDU:2025-10846,0.2103383
BDU:2025-10845,0.2113903
BDU:2025-10844,0.2112215
BDU:2025-10843,0.4439351
BDU:2025-10842,0.2896023
BDU:2025-10841,0.289675
BDU:2025-10840,0.2897006
BDU:2025-10839,0.2703659
BDU:2025-10838,0.3498803
BDU:2025-10837,0.2058928
BDU:2025-10836,0.2724549
BDU:2025-10835,0.4328976
BDU:2025-10834,0.5969308
BDU:2025-10833,0.2047095
BDU:2025-10832,0.2104258
BDU:2025-10831,0.2127611
BDU:2025-10830,0.4370838
BDU:2025-10829,0.4356552
BDU:2025-10828,0.4369052
BDU:2025-10827,0.268357
BDU:2025-10826,0.0473298
BDU:2025-10825,0.4373376
BDU:2025-10824,0.8049047
BDU:2025-10823,0.2087736
BDU:2025-10822,0.5617149
BDU:2025-10821,0.5608513
BDU:2025-10820,0.0472313
BDU:2025-10819,0.4365763
BDU:2025-10818,0.1967094
BDU:2025-10817,0.1972022
BDU:2025-10816,0.1969443
BDU:2025-10815,0.4819193
BDU:2025-10814,0.1968026
BDU:2025-10813,0.196834
BDU:2025-10812,0.4356552
BDU:2025-10811,0.4364886
BDU:2025-10810,0.6335498
BDU:2025-10809,0.2109833
BDU:2025-10808,0.8051371
BDU:2025-10807,0.2287121
BDU:2025-10806,0.0483049
BDU:2025-10805,0.0808194
BDU:2025-10804,0.0497677
BDU:2025-10803,0.1383726
BDU:2025-10802,0.1407571
BDU:2025-10801,0.1398891
BDU:2025-10800,0.1400604
BDU:2025-10799,0.1389489
BDU:2025-10798,0.0502704
BDU:2025-10797,0.0482951
BDU:2025-10796,0.0511002
BDU:2025-10795,0.0495685
BDU:2025-10794,0.1398156
BDU:2025-10793,0.0469205
BDU:2025-10792,0.0477223
BDU:2025-10791,0.0486815
BDU:2025-10790,0.0469205
BDU:2025-10789,0.0490704
BDU:2025-10788,0.1387168
BDU:2025-10787,0.0495408
BDU:2025-10786,0.0507834
BDU:2025-10785,0.0476231
BDU:2025-10784,0.1409615
BDU:2025-10783,0.048143
BDU:2025-10782,0.1393234
BDU:2025-10781,0.0482448
BDU:2025-10780,0.1400614
BDU:2025-10779,0.0477534
BDU:2025-10778,0.1398993
BDU:2025-10777,0.139218
BDU:2025-10776,0.1412314
BDU:2025-10775,0.1401636
BDU:2025-10774,0.1398901
BDU:2025-10773,0.1398941
BDU:2025-10772,0.1389499
BDU:2025-10771,0.1412533
BDU:2025-10770,0.1400614
BDU:2025-10769,0.1389522
BDU:2025-10768,0.1400614
BDU:2025-10767,0.1405843
BDU:2025-10766,0.1412569
BDU:2025-10765,0.140329
BDU:2025-10764,0.1410936
BDU:2025-10763,0.1396874
BDU:2025-10762,0.1408843
BDU:2025-10761,0.1403361
BDU:2025-10760,0.1410266
BDU:2025-10759,0.1406581
BDU:2025-10758,0.1416788
BDU:2025-10757,0.5317481
BDU:2025-10756,0.1418682
BDU:2025-10755,0.1410936
BDU:2025-10754,0.1400202
BDU:2025-10753,0.1396121
BDU:2025-10752,0.1409535
BDU:2025-10751,0.1396121
BDU:2025-10750,0.1395361
BDU:2025-10749,0.1395132
BDU:2025-10748,0.1410381
BDU:2025-10747,0.1404581
BDU:2025-10746,0.1388107
BDU:2025-10745,0.142294
BDU:2025-10744,0.1410936
BDU:2025-10743,0.1415512
BDU:2025-10742,0.1406131
BDU:2025-10741,0.1406131
BDU:2025-10740,0.1389633
BDU:2025-10739,0.1403124
BDU:2025-10738,0.140333
BDU:2025-10737,0.1416206
BDU:2025-10736,0.1396121
BDU:2025-10735,0.1395248
BDU:2025-10734,0.2129489
BDU:2025-10733,0.0528033
BDU:2025-10732,0.2228391
BDU:2025-10731,0.047084
BDU:2025-10730,0.0450038
BDU:2025-10729,0.04505
BDU:2025-10728,0.0469858
BDU:2025-10727,0.0470315
BDU:2025-10726,0.0463381
BDU:2025-10725,0.0461692
BDU:2025-10724,0.0461692
BDU:2025-10723,0.0469078
BDU:2025-10722,0.0482547
BDU:2025-10721,0.0451203
BDU:2025-10720,0.3727662
BDU:2025-10719,0.3727621
BDU:2025-10718,0.23184
BDU:2025-10717,0.5102851
BDU:2025-10716,0.0472806
BDU:2025-10715,0.0473267
BDU:2025-10714,0.2329071
BDU:2025-10713,0.2328727
BDU:2025-10712,0.233703
BDU:2025-10711,0.0478055
BDU:2025-10710,0.0479317
BDU:2025-10709,0.6701469
BDU:2025-10708,0.4341985
BDU:2025-10706,0.2308144
BDU:2025-10705,0.4520781
BDU:2025-10704,0.2182827
BDU:2025-10703,0.213909
BDU:2025-10702,0.2138078
BDU:2025-10701,0.6230925
BDU:2025-10700,0.2176023
BDU:2025-10697,0.4787966
BDU:2025-10696,0.0392096
BDU:2025-10695,0.0392096
BDU:2025-10694,0.2141615
BDU:2025-10693,0.2326796
BDU:2025-10692,0.6247265
BDU:2025-10691,0.2317199
BDU:2025-10690,0.2317199
BDU:2025-10689,0.2317199
BDU:2025-10688,0.2317199
BDU:2025-10687,0.2317199
BDU:2025-10686,0.2345381
BDU:2025-10685,0.2340652
BDU:2025-10684,0.2091019
BDU:2025-10681,0.4333699
BDU:2025-10679,0.8829762
BDU:2025-10678,0.1483615
BDU:2025-10677,0.5490334
BDU:2025-10676,0.5490334
BDU:2025-10675,0.5490334
BDU:2025-10674,0.6881174
BDU:2025-10673,0.5490334
BDU:2025-10672,0.5490334
BDU:2025-10671,0.5490334
BDU:2025-10670,0.5490334
BDU:2025-10669,0.2314605
BDU:2025-10668,0.2314595
BDU:2025-10667,0.2314656
BDU:2025-10666,0.2315399
BDU:2025-10665,0.2314605
BDU:2025-10664,0.2314595
BDU:2025-10663,0.2313445
BDU:2025-10662,0.2314072
BDU:2025-10661,0.2790864
BDU:2025-10660,0.5932496
BDU:2025-10659,0.2455146
BDU:2025-10658,0.0719768
BDU:2025-10657,0.0554749
BDU:2025-10656,0.2309263
BDU:2025-10655,0.2328509
BDU:2025-10654,0.2328702
BDU:2025-10653,0.2328712
BDU:2025-10652,0.2328651
BDU:2025-10651,0.2328722
BDU:2025-10650,0.2328864
BDU:2025-10649,0.2328529
BDU:2025-10648,0.2328513
BDU:2025-10647,0.2328742
BDU:2025-10646,0.2329076
BDU:2025-10645,0.2329076
BDU:2025-10644,0.2328995
BDU:2025-10643,0.2329957
BDU:2025-10642,0.2328675
BDU:2025-10641,0.2328995
BDU:2025-10640,0.2328493
BDU:2025-10639,0.5024314
BDU:2025-10638,0.5933417
BDU:2025-10637,0.2311396
BDU:2025-10634,0.231511
BDU:2025-10633,0.2315029
BDU:2025-10632,0.2312761
BDU:2025-10631,0.2312791
BDU:2025-10630,0.2314877
BDU:2025-10629,0.0504016
BDU:2025-10628,0.0505278
BDU:2025-10627,0.2098642
BDU:2025-10626,0.2098906
BDU:2025-10625,0.2099058
BDU:2025-10624,0.5264621
BDU:2025-10623,0.5264621
BDU:2025-10621,0.7408183
BDU:2025-10620,0.7655242
BDU:2025-10619,0.7749557
BDU:2025-10618,0.7742414
BDU:2025-10617,0.2257873
BDU:2025-10616,0.3275056
BDU:2025-10615,0.2673648
BDU:2025-10614,0.1412869
BDU:2025-10613,0.1411027
BDU:2025-10612,0.1412182
BDU:2025-10611,0.1418966
BDU:2025-10610,0.1412622
BDU:2025-10609,0.1407784
BDU:2025-10608,0.1413622
BDU:2025-10607,0.1413182
BDU:2025-10606,0.142173
BDU:2025-10605,0.1418852
BDU:2025-10604,0.1422261
BDU:2025-10603,0.142069
BDU:2025-10602,0.2072544
BDU:2025-10601,0.1943275
BDU:2025-10600,0.1401743
BDU:2025-10599,0.1416272
BDU:2025-10598,0.6216171
BDU:2025-10597,0.6218775
BDU:2025-10596,0.6219202
BDU:2025-10595,0.6216766
